Marka,Model,Buraxlis ili,Reng,Yanacaq novu,Muherrik hecmi,Suretler_qutusu,Yurus,Qiymet
Mercedes,C 200,1998,Göy,Benzin,2.0 L,Avtomat,273 000 km,10 950 AZN
Mercedes,C 220,1998,Qara,Dizel,2.2 L,Avtomat,354 000 km,12 800 AZN
LADA (VAZ),2107,2002,Ağ,Benzin,1.5 L,Mexaniki,120 000 km,4 400 AZN
LADA (VAZ),2107,2000,Bənövşəyi,Benzin,1.6 L,Mexaniki,259 550 km,3 500 AZN
Mercedes,E 280,2007,Gümüşü,Dizel,3.0 L,Avtomat,231 667 km,18 500 AZN
Opel,Astra,2007,Göy,Benzin,1.4 L,Mexaniki,170 485 km,10 200 AZN
Hyundai,Veloster,2016,Gümüşü,Benzin,1.6 L,Avtomat,57 000 km,18 500 AZN
Mercedes,B 180,2012,Qara,Benzin,1.8 L,Avtomat,103 000 km,19 800 AZN
Toyota,Prius,2007,Yaş Asfalt,Benzin,1.5 L,Avtomat,153 000 km,11 000 AZN
Toyota,Prado,2008,Ağ,Dizel,3.0 L,Avtomat,169 700 km,27 900 $
LADA (VAZ),2107,2003,Ağ,Benzin,1.6 L,Mexaniki,55 444 km,5 500 AZN
LADA (VAZ),2106,2004,Qara,Benzin,1.6 L,Mexaniki,64 510 km,5 500 AZN
GAZ,31105,2005,Boz,Benzin,2.4 L,Mexaniki,170 000 km,4 600 AZN
LADA (VAZ),Priora,2017,Yaş Asfalt,Benzin,1.6 L,Mexaniki,104 000 km,13 000 AZN
Mercedes,S 320,1995,Gümüşü,Benzin,3.2 L,Avtomat,390 000 km,17 400 AZN
Subaru,Forester,2005,Qara,Benzin,2.5 L,Avtomat,140 000 km,8 900 AZN
Mercedes,Sprinter 316,2009,Ağ,Dizel,2.2 L,Mexaniki,120 000 km,43 500 AZN
LADA (VAZ),2107,2010,Qara,Benzin,1.6 L,Mexaniki,57 000 km,7 400 AZN
Mercedes,C 180,1998,Qara,Benzin,1.8 L,Avtomat,427 000 km,11 200 AZN
Hyundai,Santa Fe,2010,Ağ,Benzin,3.5 L,Avtomat,111 209 km,25 800 AZN
Chevrolet,Cruze,2017,Ağ,Benzin,1.4 L,Avtomat,68 000 km,18 000 AZN
Toyota,Prius,2008,Mavi,Hibrid,1.5 L,Avtomat,139 000 km,12 000 AZN
Lexus,LX 470,2003,Qara,Benzin,4.7 L,Avtomat,203 800 km,24 200 AZN
Chevrolet,Cruze,2014,Ağ,Benzin,1.4 L,Avtomat,102 000 km,16 800 AZN
Mercedes,E 320,1996,Yaşıl,Benzin,3.2 L,Avtomat,287 000 km,6 900 AZN
Toyota,Prius,2007,Qara,Benzin,1.5 L,Avtomat,170 000 km,12 800 AZN
Mercedes,E 320,2000,Gümüşü,Dizel,3.2 L,Avtomat,406 100 km,18 500 AZN
LADA (VAZ),2112,2005,Qara,Benzin,1.6 L,Mexaniki,150 000 km,7 000 AZN
